key,question,kind,options,answers,confidence,status,source,excerpt,updated_at
167d8454b1e2e877bd299ae1d22d3ae641488e087e0d0294e0e406e34c3385ea,Сколько нужно электроэнергии для верификации одной транзакции в Биткоин-блокчейне?,single_choice,"[""1 кВт·ч."", ""200 кВт·ч."", ""10 кВт·ч.""]","[""200 кВт·ч.""]",1.0,answered,moodle-review,Вопрос 4 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Сколько нужно электроэнергии для верификации одной транзакции в Биткоин-блокчейне? Вопрос 4 Ответ 1. 1 кВт·ч. 2. 10 кВт·ч. 3. 200 кВт·ч. Отзыв Ваш ответ верный.,2026-05-30 06:24:44
7b6b5a67619e6d05c5449249bf7b2ca92f859fde764cdf6b99b8ed83970ff60a,"Укажите, какое количество стадий определено в каскадной модели ЖЦ при создании программных средств в ГОСТ Р ИСО/МЭК ТО 15271-2002",single_choice,"[""9"", ""5"", ""7""]","[""5""]",0.95,answered,"Лекция 1. Термины, определения и общие подходы к проектированию 2.pdf",ИСО/МЭК 15271 (п.С.1) 11. Эволюционная модель ЖЦ системы по ГОСТ Р ИСО/МЭК 15271 (п.С.3) 12. Типичные стадии ЖЦ системы по ГОСТ Р 57193-2016 (п.5.4.2) 13. Стадии разработки продукции по ГОСТ 2.103-2013 (табл. 1) 14. ЖЦ изделия по ГОСТ 2.103-2013 (прил. А) 15. Порядок проведения ОКР по ГОСТ РВ 15.203-2001 16. Виды работ ЖЦ продукции по ГОСТ 15.301-2016 17. Стадии создания АС по ГОСТ Р 59793-2021 Крючков А.В. 41 Вопрос 3. ЖЦ ИС. Варианты моделей ЖЦ 18. Стадии разработки программ и программной документации по 19.102-77 19. Этапы гибкого цикла разработки Agile (мнение 1С) 20. Этапы процесса управления проектом (мнение 1С) 21. Стадии ЖЦ ИВС по ГОСТ Р 53622-2009 22. ЖЦ при создании системы защиты информации АСЗИ ГОСТ Р 51583- 2014 (п.6.1) 23. Основные виды работ по ЗИ для АСЗИ ГОСТ Р 51583-2014 (п.7.2) 24. Процессы ЖЦ ПО согласно ГОСТ Р 51904-2002 Крючков А.В. 42 Вопрос 3. ЖЦ ИС. Варианты моде,2026-05-30 06:24:39
168b0c2e0a857a3fe1f26467a0ec2acbd9b3bddfaed3aec574a944031585fcf8,Предусмотрено ли проф. стандартом 06.012 (Менеджер ИТ-продуктов) выявление требований к разрабатываемому ИТ-продукту или СПО?,single_choice,"[""Да, предусмотрено, и к ИТ-продукту, и к СПО."", ""Нет, не предусмотрено."", ""Да, предусмотрено, но только к ИТ-продукту.""]","[""Да, предусмотрено, но только к ИТ-продукту.""]",1.0,answered,moodle-review,"Вопрос 33 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Предусмотрено ли проф. стандартом 06.012 (Менеджер ИТ-продуктов) выявление требований к разрабатываемому ИТ-продукту или СПО? Вопрос 33 Ответ 1. Да, предусмотрено, и к ИТ-продукту, и к СПО. 2. Да, предусмотрено, но только к ИТ-продукту. 3. Нет, не предусмотрено. Отзыв Ваш ответ верный.",2026-05-30 06:24:31
f972e7e6269387cbeebf11fb55f10aa11eb735c3261f11950b5d2934597a3b32,Как планировалось развивать внешнюю разработку СПО в СССР на заключительном этапе его существования?,single_choice,"[""Путём строительства большого числа региональных вычислительных центров."", ""Путём будущего развития систем связи и Интернета."", ""Путём создания большого числа коллективов программистов в формирующейся бизнес-среде.""]","[""Путём строительства большого числа региональных вычислительных центров.""]",1.0,answered,moodle-review,Вопрос 25 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Как планировалось развивать внешнюю разработку СПО в СССР на заключительном этапе его существования? Вопрос 25 Ответ 1. Путём создания большого числа коллективов программистов в формирующейся бизнес-среде. 2. Путём будущего развития систем связи и Интернета. 3. Путём строительства большого числа региональных вычислительных центров. Отзыв Ваш ответ верный.,2026-05-30 06:24:30
d8b5f56eb058fc6701965f1416f2e55cc7371bc6b9f3232bffce69386d0a0c2c,Сколько элементов включает в себя ИТ-стратегия?,single_choice,"[""8"", ""6"", ""5""]","[""6""]",1.0,answered,moodle-review,Вопрос 18 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Сколько элементов включает в себя ИТ-стратегия? Вопрос 18 Ответ 1. 6 2. 5 3. 8 Отзыв Ваш ответ верный.,2026-05-30 06:24:28
2cf6600af04143ee9c52986450bee166422ac1e6253b2837496b00622ffa3d3f,Какой вопрос необходимо задавать при оценке характеристики требований «необходимость» согласно ISO/IEC/IEEE 29148:2018?,single_choice,"[""Что произойдёт, если мы уберём это требование? Пострадают ли цели или пользователи системы?"", ""Соответствуют ли индивидуальные требования и их наборы требований эффективности работ системы?"", ""Есть ли внутри требования факторы, которые ограничивают возможности команды разработки?""]","[""Что произойдёт, если мы уберём это требование? Пострадают ли цели или пользователи системы?""]",1.0,answered,moodle-review,"Вопрос 21 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Какой вопрос необходимо задавать при оценке характеристики требований «необходимость» согласно ISO/IEC/IEEE 29148:2018? Вопрос 21 Ответ 1. Соответствуют ли индивидуальные требования и их наборы требований эффективности работ системы? 2. Есть ли внутри требования факторы, которые ограничивают возможности команды разработки? 3. Что произойдёт, если мы уберём это требование? Пострадают ли цели или пользователи системы? Отзыв Ваш ответ верный.",2026-05-30 06:24:27
fcbb69b12f9cd1f1bc741b196996287093eb111216b523cbec2bdcf34966d83a,Для чего предназначен механизм OLE?,single_choice,"[""Для обмена данными между различными СУБД."", ""Для упрощения обмена данными и объектами между приложениями на разных ЯП."", ""Для проведения аудита каналов взаимодействия между различными СУБД.""]","[""Для упрощения обмена данными и объектами между приложениями на разных ЯП.""]",1.0,answered,moodle-review,Вопрос 34 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Для чего предназначен механизм OLE? Вопрос 34 Ответ 1. Для обмена данными между различными СУБД. 2. Для упрощения обмена данными и объектами между приложениями на разных ЯП. 3. Для проведения аудита каналов взаимодействия между различными СУБД. Отзыв Ваш ответ верный.,2026-05-30 06:24:25
32a714331d1a72639213f99f73731b37fae41ea8494741d49a5050dc5e9025d2,В чём по сути отдельные ИТ-эксперты видят отличие цифровизации от автоматизации?,single_choice,"[""Цифровизация – это процесс использования данных для достижения максимальной добавленной стоимости, а автоматизация - её составная часть."", ""Автоматизация служит развитию эффективности использования ИТ-систем, а цифровизация - развитию эффективности использования данных."", ""Автоматизация служит для управления процессам, в которых цифровизация оцифровала данные.""]","[""Автоматизация служит развитию эффективности использования ИТ-систем, а цифровизация - развитию эффективности использования данных.""]",0.275,needs_review,best-effort,"Исключены ранее неверные варианты: Цифровизация – это процесс использования данных для достижения максимальной добавленной стоимости, а автоматизация - её составная часть.",2026-05-30 06:24:24
540533a8da822147afa44e5eca90126ed75aa302859c85a8bc8fed6bb427e24b,Какой тип файлов использовался для оцифрованной информации до появления Интернета?,single_choice,"[""Аналог текстовых файлов."", ""Аналог двоичных файлов."", ""Аналог файлов с таблицами баз данных.""]","[""Аналог текстовых файлов.""]",0.25,needs_review,best-effort,"е шла, но были пакеты прикладных программ (ППП), некоторые из которых живы и поныне. Вопрос 2. Первая эпоха (до 90-х). ЯП. Данные Появление персональных ЭВМ в 80-е 90-е годы мало изменило ситуацию. Большинство программистов создавали прототипы нынешних КИС в виде отдельных приложений. Всё также требовалась значительная математическая подготовка и практика работы с ОС, системами программирования на ЯП высокого уровня. Состав применяемых ЯП изменился. Для них появились библиотеки и утилиты для запуска приложений и работы с данными в разных средах. Данные всё также накапливались в файлах, аналогичным нынешним текстовым, структуру которых определял программист в исходном коде на ЯП. Крючков А.В. 25 Вопрос 2. Первая эпоха. Клиент-сервер. В середине 90-х началось массовое внедрение Интернета в производственную, общественную и иную среду. АСУ стали заменять на АС (без управления). Настала эра коробочных продуктов, в которых центральную роль играли исполняемые файлы, написанные программистами на ЯП, с прилагаемыми к ним файлами конфигураций и данными. Часто в коробочном варианте приложения записывались на отдельные носители (гибкие магнитные диски – ГМД, в последствии CD), без которых они не запускались и не работали. Изначально для работы в ИС (АС) большого числа сотрудников закупались несколько коробочных продуктов. Лицензии на них появились позднее. Обмен информации между АРМ",2026-05-30 06:24:19
f3f0405b683a9bde6ffbf93bbdd1a1b484b77fa6fadd83993fa60c9d6b596787,К числу каких требований следует отнести формирование концепции развития организации и политики в области ИТ?,single_choice,"[""Бизнес-требование"", ""Системное требование"", ""Бизнес-правило""]","[""Бизнес-требование""]",0.12,needs_review,best-effort,Исключены ранее неверные варианты: Системное требование,2026-05-30 06:24:06
f06786df06c04554e31b25a5e401c234fdd60114bad47d1f065f4090cd99523e,С какого года на территории РФ прекратило действовать «Положение о Государственном комитете СССР по вычислительной технике и информатике»?,single_choice,"[""С 21 февраля 2020 года."", ""С 1 апреля 1991 года."", ""С 20 октября 1993 года.""]","[""С 21 февраля 2020 года.""]",1.0,answered,moodle-review,Вопрос 19 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса С какого года на территории РФ прекратило действовать «Положение о Государственном комитете СССР по вычислительной технике и информатике»? Вопрос 19 Ответ 1. С 21 февраля 2020 года. 2. С 1 апреля 1991 года. 3. С 20 октября 1993 года. Отзыв Ваш ответ верный.,2026-05-30 06:23:59
9f18fd0323b42cb8fdfae133edbaf153b05a505a0e8c32c4ab7e786cee26eaec,Укажите два главных недостатка беспроводных сетей.,single_choice,"[""Невозможность работы с отдельными программами и кратное снижение мощности роутера при увеличении количества подключений."", ""Угрозы информационной безопасности ЛВС и возникновение помех из-за близости других роутеров."", ""Помехи из-за близости других роутеров и небольшой ассортимент МФУ, способных через роутер подключаться к ЛВС.""]","[""Угрозы информационной безопасности ЛВС и возникновение помех из-за близости других роутеров.""]",1.0,answered,moodle-review,"Вопрос 1 Верно Баллов: 1 из 1 Отметить вопрос Текст вопроса Укажите два главных недостатка беспроводных сетей. Вопрос 1 Ответ 1. Помехи из-за близости других роутеров и небольшой ассортимент МФУ, способных через роутер подключаться к ЛВС. 2. Угрозы информационной безопасности ЛВС и возникновение помех из-за близости других роутеров. 3. Невозможность работы с отдельными программами и кратное снижение мощности роутера при увеличении количества подключений. Отзыв Ваш ответ верный.",2026-05-30 06:23:57
